ID, x, y, age
0,27,79,54
1,67,51,64
2,6,75,26
3,42,23,10
4,7,86,30
5,8,2,6
6,48,42,16
7,19,37,80
8,10,71,94
9,25,90,70
10,89,79,5
11,67,4,80
12,13,25,82
13,57,27,85
14,55,62,77
15,78,41,67
16,7,30,70
17,91,9,36
18,75,6,56
19,80,74,59
20,70,63,51
21,54,92,53
22,71,19,16
23,85,37,36
24,67,29,28
25,62,49,18
26,35,52,44
27,92,4,4
28,72,18,48
29,88,18,46
30,44,52,7
31,47,93,12
32,5,46,57
33,4,42,34
34,38,88,97
35,41,80,3
36,13,60,1
37,16,47,23
38,46,33,99
39,78,42,20
40,55,69,98
41,16,20,67
42,72,67,100
43,84,54,40
44,89,16,87
45,71,16,44
46,39,60,98
47,32,48,13
48,72,69,95
49,88,69,7
50,23,30,34
51,44,27,72
52,29,89,67
53,68,69,70
54,65,62,67
55,9,82,6
56,65,3,95
57,48,7,60
58,32,54,69
59,71,10,74
60,77,47,38
61,1,11,18
62,51,88,69
63,6,1,55
64,68,7,60
65,86,92,53
66,50,81,65
67,32,6,20
68,11,99,59
69,65,21,58
70,31,52,70
71,80,78,80
72,68,14,90
73,64,90,23
74,31,67,30
75,37,82,63
76,71,79,64
77,70,87,59
78,62,11,100
79,68,54,79
80,62,13,29
81,92,77,9
82,100,45,31
83,37,91,44
84,27,13,16
85,38,13,38
86,77,42,31
87,44,71,27
88,92,16,63
89,84,33,3
90,13,5,46
91,51,29,6
92,22,62,84
93,19,90,33
94,5,4,99
95,7,18,33
96,19,0,80
97,85,72,91
98,25,0,76
99,44,86,27
100,79,80,2
101,14,61,27
102,35,29,13
103,45,96,88
104,85,98,26
105,66,85,40
106,57,30,44
107,77,20,69
108,12,92,46
109,69,2,12
110,9,37,13
111,17,9,4
112,24,68,26
113,100,93,37
114,95,28,26
115,75,21,67
116,72,41,5
117,44,26,53
118,26,15,80
119,49,34,78
120,6,74,15
121,23,19,55
122,78,79,28
123,41,92,88
124,5,28,67
125,66,70,3
126,20,97,87
127,11,40,41
128,30,54,36
129,46,25,85
130,80,21,56
131,97,86,84
132,86,11,15
133,83,30,78
134,66,85,49
135,44,72,14
136,94,47,50
137,78,71,100
138,14,54,10
139,84,30,4
140,49,59,46
141,79,11,48
142,32,20,34
143,10,71,4
144,70,86,42
145,69,87,32
146,96,82,100
147,83,46,27
148,77,26,26
149,0,27,68
150,54,56,100
151,44,71,60
152,91,16,34
153,79,28,55
154,33,70,22
155,12,30,80
156,79,22,71
157,87,25,44
158,57,71,5
159,94,7,71
160,25,3,77
161,94,56,71
162,85,100,11
163,87,72,57
164,15,29,79
165,35,48,40
166,43,73,81
167,84,67,89
168,24,22,38
169,18,39,27
170,47,54,94
171,14,18,35
172,96,29,56
173,48,27,23
174,47,16,88
175,6,56,36
176,43,94,35
177,56,37,33
178,67,41,21
179,77,19,57
180,40,99,82
181,65,79,23
182,69,21,91
183,93,33,44
184,83,32,60
185,0,50,5
186,37,21,22
187,70,63,65
188,41,29,59
189,1,28,87
190,37,3,47
191,3,37,78
192,60,99,82
193,44,96,17
194,62,86,40
195,58,46,32
196,8,88,50
197,2,92,12
198,9,36,7
199,71,13,60
200,55,19,22
201,100,65,50
202,91,59,11
203,10,50,65
204,57,88,98
205,12,1,90
206,83,83,74
207,9,33,61
208,15,6,1
209,80,76,89
210,40,85,90
211,79,14,29
212,21,64,66
213,46,38,70
214,3,93,81
215,82,93,20
216,24,98,91
217,22,60,39
218,5,10,61
219,65,29,40
220,64,57,89
221,33,8,28
222,63,88,14
223,75,17,89
224,20,82,60
225,55,51,93
226,13,31,65
227,19,14,43
228,89,40,51
229,96,37,64
230,81,27,19
231,77,29,34
232,21,60,38
233,24,3,56
234,100,1,43
235,4,8,11
236,45,50,88
237,55,48,90
238,5,48,75
239,69,18,2
240,62,77,59
241,21,88,53
242,5,59,76
243,56,39,96
244,94,42,10
245,27,71,14
246,13,77,98
247,43,95,74
248,88,29,43
249,28,19,51
250,2,10,69
251,52,36,51
252,28,78,36
253,30,54,39
254,27,11,18
255,29,54,28
256,83,25,6
257,16,90,78
258,32,45,48
259,36,35,47
260,81,76,15
261,76,26,48
262,20,39,39
263,97,59,95
264,63,55,51
265,45,44,9
266,62,14,62
267,84,8,70
268,100,13,12
269,81,97,96
270,38,26,36
271,20,0,69
272,24,70,9
273,72,51,27
274,59,13,22
275,20,0,85
276,33,30,56
277,69,91,28
278,88,1,3
279,69,1,84
280,79,52,55
281,78,80,36
282,35,92,80
283,77,47,11
284,2,55,97
285,45,68,96
286,21,92,44
287,40,1,26
288,95,45,64
289,56,43,43
290,39,10,96
291,79,77,59
292,90,91,68
293,51,24,96
294,0,52,7
295,67,63,43
296,55,76,90
297,9,37,27
298,9,55,61
299,83,25,57
300,100,63,40
301,45,84,88
302,33,13,6
303,86,59,81
304,87,89,46
305,80,53,6
306,91,18,19
307,5,25,100
308,7,29,53
309,64,17,34
310,2,28,29
311,48,60,10
312,1,61,41
313,93,92,78
314,89,10,26
315,4,21,10
316,10,39,36
317,2,54,74
318,48,35,1
319,22,99,28
320,93,20,69
321,81,79,80
322,64,46,31
323,88,10,90
324,9,49,68
325,16,84,69
326,57,73,51
327,54,84,47
328,36,77,25
329,29,34,43
330,63,86,18
331,87,95,95
332,82,71,74
333,50,84,25
334,24,81,44
335,19,0,29
336,20,54,51
337,19,82,33
338,42,39,84
339,49,43,16
340,78,15,62
341,88,46,12
342,98,53,59
343,69,48,1
344,74,59,87
345,36,66,11
346,10,69,26
347,73,54,77
348,86,93,19
349,76,13,37
350,92,50,77
351,36,37,38
352,75,5,100
353,90,61,49
354,90,10,76
355,89,69,79
356,34,7,19
357,61,53,15
358,28,54,44
359,90,23,37
360,48,29,12
361,67,15,95
362,99,90,69
363,26,67,41
364,3,88,25
365,33,52,60
366,15,1,77
367,87,85,52
368,79,93,75
369,37,80,11
370,99,55,52
371,17,31,90
372,24,89,69
373,73,59,84
374,81,7,64
375,99,2,9
376,94,59,73
377,16,24,81
378,93,28,37
379,35,34,38
380,10,59,44
381,40,29,11
382,96,85,81
383,80,81,10
384,20,45,89
385,9,41,50
386,15,98,68
387,84,86,66
388,45,81,64
389,0,38,77
390,52,88,62
391,31,43,57
392,67,95,71
393,48,98,12
394,11,83,36
395,79,79,80
396,95,46,23
397,73,5,10
398,10,69,30
399,24,92,37
400,82,0,21
401,29,86,28
402,36,37,94
403,36,25,70
404,84,49,79
405,76,17,35
406,26,9,40
407,46,17,55
408,35,9,94
409,93,56,25
410,61,38,50
411,89,21,14
412,5,79,95
413,72,54,60
414,70,98,49
415,6,30,17
416,97,18,64
417,0,4,28
418,23,3,71
419,61,1,10
420,36,50,43
421,91,98,47
422,4,40,84
423,18,52,22
424,21,35,3
425,62,20,5
426,95,51,53
427,100,23,93
428,57,100,82
429,22,73,32
430,86,53,57
431,82,7,69
432,28,6,18
433,17,42,80
434,88,23,28
435,48,19,35
436,21,78,37
437,14,26,98
438,50,5,22
439,91,22,3
440,55,48,89
441,46,68,26
442,82,75,86
443,75,71,71
444,70,19,10
445,25,48,47
446,73,100,63
447,16,62,58
448,48,64,75
449,42,3,74
450,54,66,80
451,1,9,89
452,88,68,73
453,92,51,24
454,11,68,38
455,33,71,43
456,4,84,63
457,56,14,62
458,49,100,93
459,34,92,43
460,87,0,65
461,19,62,63
462,75,96,21
463,24,46,72
464,7,20,54
465,40,19,20
466,17,77,81
467,68,46,22
468,14,28,50
469,83,85,75
470,66,38,30
471,93,20,92
472,52,76,2
