ID, x, y, age
0,3038,7917,73
1,9201,753,72
2,4956,3744,45
3,8385,21,19
4,9996,9086,11
5,4016,3629,92
6,6580,8035,85
7,6443,2854,85
8,7186,8268,63
9,2008,1641,96
10,5183,8123,55
11,9497,5807,82
12,6761,5959,40
13,747,2810,48
14,3618,4241,57
15,7996,3026,13
16,9752,80,7
17,9350,1733,35
18,6921,8719,78
19,1851,619,21
20,9006,384,30
21,6252,8143,47
22,3147,1127,78
23,5548,3993,6
24,9146,2539,37
25,168,1285,6
26,3776,5394,56
27,5051,4131,65
28,5015,6619,75
29,644,3004,94
30,5995,4159,74
31,7329,7121,41
32,5900,4505,63
33,4056,7770,48
34,3400,4720,29
35,1561,3363,3
36,4605,8763,9
37,1471,7255,10
38,4481,8955,1
39,2241,180,94
40,6898,3889,66
41,2007,7470,71
42,5099,60,23
43,5480,442,2
44,4124,6972,18
45,9243,4975,10
46,3583,6272,95
47,2337,7084,89
48,985,7595,96
49,6494,4742,55
50,6860,2942,39
51,6913,3640,25
52,5879,73,91
53,2245,8833,23
54,1179,6547,10
55,7610,6914,53
56,1102,9312,6
57,4874,9560,23
58,431,8699,92
59,3718,5592,48
60,8692,2430,32
61,1290,4436,85
62,5193,8541,62
63,5532,4552,59
64,2288,7295,66
65,4605,3400,86
66,8762,6584,73
67,4984,8674,8
68,3932,4263,59
69,694,8898,92
70,2896,8443,88
71,4452,753,62
72,3867,5060,86
73,9283,2098,34
74,7100,8184,31
75,790,8370,31
76,3751,267,71
77,7936,2259,86
78,408,2829,27
79,7454,63,60
80,2219,9097,21
81,5810,6213,3
82,3216,9844,85
83,6,3766,44
84,78,2026,62
85,2992,5664,26
86,6679,3499,72
87,9507,3796,35
88,7745,8255,96
89,6866,9605,99
90,302,6047,86
91,1234,7461,41
92,9633,7831,74
93,7910,625,26
94,2823,5595,13
95,8563,9605,79
96,134,4405,22
97,6096,8511,91
98,1880,4821,90
99,3392,6874,29
100,4068,2405,16
101,2658,3779,22
102,1884,3700,23
103,6370,2880,2
104,6537,9276,56
105,584,7106,53
106,5186,3013,2
107,6112,3105,30
108,3956,681,7
109,4093,1470,68
110,3132,7338,96
111,1226,1145,11
112,9154,3594,67
113,9401,6160,5
114,230,2562,25
115,4399,4710,49
116,3881,3733,24
117,7247,9369,24
118,9302,7192,22
119,7348,3130,14
120,7594,3476,60
121,9734,785,27
122,7361,5944,49
123,2111,7491,21
124,8707,3598,38
125,6797,9981,71
126,5194,6489,74
127,4664,7467,63
128,650,8678,28
129,816,2264,78
130,3201,1951,13
131,5679,2995,25
132,286,1757,43
133,2533,1178,36
134,2445,410,94
135,6186,9497,56
136,5308,6752,83
137,6351,2840,3
138,9718,3851,63
139,3464,1858,54
140,2680,2041,35
141,9137,110,41
142,4464,1765,60
143,9436,7263,100
144,9609,4879,1
145,3783,7996,95
146,332,2110,58
147,9688,1366,99
148,5459,5836,97
149,2410,649,78
150,4808,801,39
151,749,7667,76
152,7019,2409,78
153,8492,2659,5
154,811,6248,53
155,8062,7551,46
156,1659,4941,1
157,7866,2135,75
158,7085,5782,53
159,9859,6345,31
160,7659,4142,39
161,7576,5036,61
162,9383,9730,13
163,2857,1146,74
164,1972,7643,6
165,9129,8857,81
166,3335,2816,14
167,8345,4348,61
168,1073,9721,64
169,3247,2885,32
170,9588,344,42
171,120,769,15
172,9961,1423,20
173,1656,910,72
174,5986,2470,54
175,8337,9508,67
176,8754,8871,39
177,879,5349,9
178,6250,8195,64
179,60,2390,86
180,2542,6214,5
181,1010,1484,50
182,9886,9177,72
183,4474,9291,63
184,9363,5664,9
185,9123,8654,96
186,2001,7619,4
187,6339,131,50
188,6086,827,57
189,6135,2729,3
190,8585,4881,70
191,1993,6737,28
192,9473,3113,44
193,4439,3489,54
194,6671,762,92
195,5383,5393,56
196,3486,4611,55
197,4084,2609,9
198,3153,3397,13
199,3340,6196,33
200,1120,364,63
201,1442,7977,84
202,535,3741,88
203,4746,3608,86
204,9820,5830,7
205,4772,3344,51
206,2161,5611,74
207,5694,4450,19
208,8931,1604,33
209,3756,1796,1
210,4766,7838,36
211,7788,7503,99
212,4878,1494,53
213,8,4562,15
214,3859,1005,89
215,2162,5742,38
216,7981,9691,94
217,8261,8220,85
218,529,7349,2
219,3698,9854,71
220,5073,7993,40
221,563,3489,14
222,3216,6572,7
223,4579,8516,22
224,6028,9819,58
225,8501,7931,61
226,3660,1293,81
227,403,9436,41
228,4823,8105,70
229,5569,6009,13
230,5183,5232,86
231,2280,5958,40
232,3172,4532,33
233,3050,38,60
234,5038,8439,81
235,3707,635,11
236,6864,6857,46
237,4143,18,45
238,4021,1959,94
239,7200,919,74
240,5291,7031,46
241,933,2300,49
242,9648,9556,36
243,9162,6170,27
244,7643,2366,11
245,1711,1272,45
246,8001,5510,8
247,5952,5355,25
248,5676,4165,100
249,2607,7450,60
250,5111,9402,38
251,3339,3961,38
252,8285,5431,22
253,2850,9188,31
254,9577,5712,61
255,150,1359,25
256,1883,5694,54
257,2099,7423,19
258,161,7977,80
259,7303,9319,23
260,3507,6650,46
261,5921,5568,20
262,3779,6205,54
263,2373,716,63
264,5589,9476,11
265,6083,7993,48
266,9219,3957,75
267,7021,7497,62
